,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間,屬性值-英文,屬性值-日文,屬性值-簡中
,,,,,,-,text,text,施放成功後，獲得![迅速]效果。,,,,,,,,Gains Buff: ![Motion Speed Boost] after casting.,,施放成功后，获得![迅速]效果。
,,,,,,-,effect,attack_mp_recovery,2*SLv,,,,,,,,,,
,,,,,,,,condition,施放下個技能前,,,,,,,,before casting next skill,,施放下个技能前
,,,,,,,,name,迅速,,,,,,,,Motion Speed Boost,,迅速
,,,,,,-,extra,caption,動作時間減少50%,,,,,,,,Motion time decreases by 50%,,动作时间减少50%
,,,,,,,,type,next,,,,,,,,,,
,,,,,,-,tips,text,![迅速]效果會覆蓋所有會影響動作時間的加成。,,,,,,,,![Motion Speed Boost] overrides any other Motion Speed effects.,,![迅速]效果会覆盖所有会影响动作时间的加成。
2,,非預設,雙劍,,,,,,,,,,,,,,,,
2,,非預設,雙手劍,,,1,,multiplier,250+5*SLv,,,,,,,,,,
,,,,,,2,,caption,,,,,,,,,,,
3,爆氣斬,預設,單手劍,,,-,text,text,施放成功後，進入!B[爆氣]狀態，強化接下來的11次一般攻擊。無法與其他改變普攻動作類的技能並存。,,500,,瞬發,可以放入連擊,快,,Gains buff: !B[Rampage State] after casting. Enhance next  11 normal attacks.,,施放成功后，进入!B[爆气]状态，强化接下来的11次一般攻击。无法与其他改变普攻动作类的技能并存。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,effect,name,爆氣,,,,,,,,Rampage State,,爆气
,,,,,,,,caption,前10次一般攻擊變為!B[強化攻擊]；第11次一般攻擊變為發動!B[二連閃擊]及!B[劍光一閃]，並結束狀態。,,,,,,,,"The former 10 normal attacks convert into !B[Enhanced Attack]; the 11th normal attack converts into !B[Double Slit] and !B[Lightning Slash], also ending the state.",,前10次一般攻击变为!B[强化攻击]；第11次一般攻击变为发动!B[二连闪击]及!B[剑光一闪]，并结束状态。
,,,,,,,,end_condition,下11次一般攻擊,,,,,,,,The upcoming 11 auto attacks,,下11次一般攻击
,,,,,,,,duration,600,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,2,extra,attack_mp_recovery,2.5*SLv,,,,,,,,,,
,,,,,,-,list,text,受到任意異常狀態時，會使![爆氣]立刻結束。若處於!S[狂戰士之怒]狀態，可免疫此效果。(自身所附加的異常狀態不在此列),,,,,,,,The ![Rampage State] would be removed if getting inflicted by any ailments.,,受到任意异常状态时，会使![爆气]立刻结束。若处于!S[狂战士之怒]状态，可免疫此效果。 (自身所附加的异常状态不在此列)
,,,,,,-,list,text,攻擊被miss或閃躲時，技能剩餘次數則不會減少。,,,,,,,,The remaining times would not decrease if the attack was evaded or missed.,,攻击被miss或闪躲时，技能剩余次数则不会减少。
,,,,,,1,effect,name,強化攻擊,,,,,,,,Enhanced Attack,,强化攻击
,,,,,,,,normal_attack_constant,10*SLv,,,,,,,,,,
,,,,,,,,normal_attack_multiplier,10+9*SLv,,,,,,,,,,
,,,,,,,,condition,狀態期間,,,,,,,,During Buff,,状态期间
,,,,,,5,extra,caption,改變攻擊動作，單次傷害被分成4次斬擊。,,,,,,,,Change attack and single damage is split into 4 slashes.,,改变攻击动作，单次伤害被分成4次斩击。
,,,,,,,,,,,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,,,,
,,,,,,3,damage,name,二連閃擊,,,,,,,,Double Slit,,二连闪击
,,,,,,,,title,each,,,,,,,,,,
,,,,,,,,judgment,separate,,,,,,,,,,
,,,,,,,,constant,300+20*SLv,,,,,,,,,,
,,,,,,,,multiplier,100+10*SLv,,,,,,,,,,
,,,,,,,,frequency,2 ,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,,,,
,,,,,,,,action_frame,~30,,,,,,,,,,
,,,,,,4,damage,name,劍光一閃,,,,,,,,Lightning Slash,,剑光一闪
,,,,,,,,constant,300+20*SLv,,,,,,,,,,
,,,,,,,,multiplier,300+30*SLv,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,,,,
,,,,,,,,action_frame,~65,,,,,,,,,,
,,,,,,-,extra,condition,動作期間,,,,,,,,,,
,,,,,,,,caption,"受到的所有傷害減輕${[10,13,17,22,28,36,45,57,72,90][SLv-1]}%。",,,,,,,,,,
,,,,,,-,list,text,第11段攻擊視作一次技能攻擊，被分成![二連閃擊]及![劍光一閃]共三次傷害，這三次傷害皆為#[必定命中]。,,,,,,,,#[Perfect Aim].,,第11段攻击视作一次技能攻击，被分成![二连闪击]及![剑光一闪]共三次伤害，这三次伤害皆为#[必定命中]。
,,,,,,-,tips,text,![二連閃擊]及![劍光一閃]共用一次慣性判定、會受「下個技能受益」類的效果加成，也會令持續時間到下個技能的狀態消失。,,,,,,,,"![Double Slit] and ![Lightning Slash] shares 1 proration check. They consume buffs that apply to the next skill, also end up the buff that sustains until the next skill casted.",,![二连闪击]及![剑光一闪]共用一次惯性判定、会受「下个技能受益」类的效果加成，也会令持续时间到下个技能的状态消失。
,,,,,,-,list,text,![劍光一閃]不受行動速度影響、也不受!S[大師級劍術]加成。,,,,,,,,![Lightning Slash] is not affected by motion speed nor !S[Sword Techniques].,,![剑光一闪]不受行动速度影响、也不受!S[大师级剑术]加成。
,,,,,,-,list,text,連擊效果不會影響此技能的傷害。,,,,,,,,The combo effects do not affect this skill's damage. ,,连击效果不会影响此技能的伤害。
,,,,,,-,list,text,效果持續期間，此技能無法再次使用。,,,,,,,,"Under the Rampage State, this skill cannot be casted again.",,效果持续期间，此技能无法再次使用。
,,,,,,-,list,text,雙劍使用時，只加成主手ATK計算的部分。,,,,,,,,Only Mainhand ATK will be multiplied when using dual swords,,双剑使用时，只加成主手ATK计算的部分。
3,,非預設,雙手劍,,,1,,normal_attack_multiplier,10+4*SLv,,,,,,,,,,
,,,,,,3,,multiplier,200+10*SLv,,,,,,,,,,
,,,,,,4,,multiplier,600+30*SLv,,,,,,,,,,
3,,非預設,雙劍,,,2,,attack_mp_recovery,1.25*SLv,,,,,,,,,,
,,,,,,5,extra,caption,改變攻擊動作，單次傷害被分成4次斬擊。(雙劍僅普攻的第一擊受影響被分為4次，故總段數為6~7次),,,,,,,,,,
3,,歷史紀錄,0,2026/4/30,,2,extra,caption,DEF、MDEF、迴避值強制固定為0。,,,,,,,,,,
,,,,,,,list,text,受到任意異常狀態時，會使![爆氣]立刻結束。若處於!S[狂戰士之怒]狀態，可免疫此效果。,,,,,,,,,,
,,,,,,3,,multiplier,50+5*SLv,,,,,,,,,,
,,,,,,4,,multiplier,250+5*SLv,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Change attack action and single damage is split into 4 slashes. (Only the first hit will be split into 4, so a total of 6~7 hits for dual swords)",,
4,流星墜擊,預設,單手劍,,,-,text,text,發動全身力量躍向空中，對目標發動!B[流星一擊]，墜地時產生!B[星流爆破]造成範圍傷害。,,600,main,瞬發,可以放入連擊,一般,,"Using whole body's strength jump into the sky, and cast Meteor Smash to the target. While landing on the floor casts Meteor Burst , dealing area damage.",,发动全身力量跃向空中，对目标发动!B[流星一击]，坠地时产生!B[星流爆破]造成范围伤害。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,,,,
,,,,,,1,damage,name,流星一擊,,,,,,,,Meteor Smash,,流星一击
,,,,,,,,constant,400+20*SLv,,,,,,,,,,
,,,,,,,,multiplier,400+20*SLv,,,,,,,,,,
,,,,,,,,ailment_name,眩暈,,,,,,,,Dizzy,,眩晕
,,,,,,,,ailment_chance,75+2.5*SLv,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,,,,
,,,,,,2,damage,name,星流爆破,,,,,,,,Meteor Burst,,星流爆破
,,,,,,,,multiplier,100+50*SLv+$BDEX*0.5,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,end_position,target,,,,,,,,,,
,,,,,,,,radius,2+Math.floor((SLv-1)/3)*0.5,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,-,extra,caption,自身處於#[無敵]狀態。,,,,,,,,player is under #[Invincible] state.,,自身处于#[无敌]状态。
,,,,,,,,condition,滯空期間,,,,,,,,While in the air,,滞空期间
,,,,,,-,tips,text,!B[星流爆破]的中心位置為技能發動時目標的位置，因此會因目標移動導致無傷害。,,,,,,,,"Meteor Burst's center is the target's position while casting, so it may not deal damage if the target moved. ",,!B[星流爆破]的中心位置为技能发动时目标的位置，因此会因目标移动导致无伤害。
4,,非預設,雙手劍,,,1,,multiplier,600+20*SLv+$BSTR*0.1,,,,,,,,,,
,,,,,,,,ailment_chance,2.5*SLv,,,,,,,,,,
,,,,,,2,,multiplier,100+50*SLv,,,,,,,,,,
4,,非預設,雙劍,,,2,,multiplier,100+50*SLv,,,,,,,,,,
4,,歷史紀錄,0,2020/07/16,,2,,multiplier,100+50*SLv,,,,,,,,,,
4,,歷史紀錄,1,2020/07/16,,1,,multiplier,600+20*SLv,,,,,,,,,,
4,,歷史紀錄,2,2020/07/16,,2,,multiplier,100+50*SLv,,,,,,,,,,
5,音速斬切,預設,單手劍,,,-,proration,damage,physical,,200,12+4*Math.floor((SLv-1)/3),瞬發,可以放入連擊,稍快,,,,
,,,,,,-,text,text,衝刺到目標跟前，並對路徑上的所有敵人給予傷害，施展後會獲得!B[蓄勢待發]。,,,,,,,,Dash towards the target and deal damage to every enemies on the path. Gains buff: Charged Blade after casted.,,冲刺到目标跟前，并对路径上的所有敌人给予伤害，施展后会获得!B[蓄势待发]。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,1,damage,constant,100+5*SLv,,,,,,,,,,
,,,,,,,,multiplier,100+5*SLv,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,effective_area,line,,,,,,,,,,
,,,,,,,,radius,1,,,,,,,,,,
,,,,,,,,end_position,self,,,,,,,,,,
,,,,,,,,end_position_offsets,-1,,,,,,,,,,
,,,,,,,,name,音速斬切,,,,,,,,Sonic Blade,,音速斩切
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,66~45,,,,,,,,,,
,,,,,,2,extra,critical_rate,10*SLv,,,,,,,,,,
,,,,,,-,effect,name,蓄勢待發,,,,,,,,Charged Blade,,蓄势待发
,,,,,,,,condition,none,,,,,,,,,,none
,,,,,,,,caption,若再次使用此技能，此技能將強化為!B[超音速斬切]。,,,,,,,,"if the player cast this skill again, this skill  would be enhanced into Supersonic Blade.",,若再次使用此技能，此技能将强化为!B[超音速斩切]。
,,,,,,,,duration,5,,,,,,,,,,
,,,,,,,,duration.registlet,RLv,,,,,,,,,,
,,,,,,3,damage,name,超音速斬切,,,,,,,,Supersonic Blade,,超音速斩切
,,,,,,,,constant,100+5*SLv,,,,,,,,,,
,,,,,,,,multiplier,200+10*SLv,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,effective_area,line,,,,,,,,,,
,,,,,,,,radius,2,,,,,,,,,,
,,,,,,,,end_position,self,,,,,,,,,,
,,,,,,,,end_position_offsets,1,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,66~45,,,,,,,,,,
,,,,,,4,extra,critical_rate,10*SLv,,,,,,,,,,
,,,,,,-,list,text,施放!B[超音速斬切]一樣會獲得!B[蓄勢待發]的效果。,,,,,,,,Casting Supersonic Blade also gains buff: Charged Blade.,,施放!B[超音速斩切]一样会获得!B[蓄势待发]的效果。
,,,,,,-,extra,condition,當此技能由遠距離（8m及以上）發動時,,,,,,,,,,
,,,,,,,,caption,"造成傷害增加${5×(距离 -7)}%,當技能等級為10且20m發動時，最高傷害為原傷害的${1.65}倍",,,,,,,,,,
5,,非預設,雙劍,,,,,,,,,,,,,,,,
5,,非預設,雙手劍,,,1,,multiplier,150+5*SLv,,,8+4*Math.floor((SLv-1)/3),,,,,,,
,,,,,,,,radius,3,,,,,,,,,,
,,,,,,2,,critical_rate,SLv,,,,,,,,,,
,,,,,,3,,multiplier,300+10*SLv,,,,,,,,,,
,,,,,,4,,critical_rate,SLv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,真空刃,預設,單手劍,,,-,proration,damage,physical,,300,main,瞬發,可以放入連擊,稍快,,,,
,,,,,,1,damage,constant,30,,,,,,,,,,
,,,,,,,,multiplier,50+SLv*3,,,,,,,,,,
,,,,,,,,multiplier.registlet,2*RLv,,,,,,,,,,
,,,,,,,,frequency,10,,,,,,,,,,
,,,,,,,,title,each,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,66~45,,,,,,,,,,
,,,,,,2,effect,condition,hit,,,,,,,,,,hit
,,,,,,,,critical_damage,"Math.max(1,Math.min(10,0.5+SLv*0.5+$DEX*0.02))",,,,,,,,,,
,,,,,,,,critical_damage.display,0.5+SLv*0.5+$DEX*0.02,,,,,,,,,,
,,,,,,,,duration,2+SLv,,,,,,,,,,
,,,,,,3,list,text,暴擊傷害加成量，最少為![1]，最多為![10]。,,,,,,,,Critical damage bonus is at least ![1] and at most ![10].,,暴击伤害加成量，最少为![1]，最多为![10]。
,,,,,,-,list,text,將根據命中次數增加本技能的物理貫穿，每hit增加5%，最高50%,,,,,,,,,,
6,,非預設,雙手劍,,,1,,multiplier,55+SLv*3,,,,,,,,,,
,,,,,,,,action_frame,66~37,,,,,,,,,,
,,,,,,2,,critical_damage.display,(SLv+1)*0.25+$DEX*0.01,,,,,,,,,,
,,,,,,,,critical_damage,"Math.max(1,Math.min(5,0.5+SLv*0.25+$DEX*0.01))",,,,,,,,,,
,,,,,,3,list,text,暴擊傷害加成量，最少為![1]，最多為![5]。,,,,,,,,Critical damage bonus is at least ![1] and at most ![5].,,暴击伤害加成量，最少为![1]，最多为![5]。
6,,非預設,雙劍,,,2,,critical_damage.display,(SLv+1)*0.25+$DEX*0.01,,,,,,,,,,
,,,,,,,,critical_damage,"Math.max(1,Math.min(5,0.5+SLv*0.25+$DEX*0.01))",,,,,,,,,,
,,,,,,3,list,text,暴擊傷害加成量，最少為![1]，最多為![5]。,,,,,,,,Critical damage bonus is at least ![1] and at most ![5].,,暴击伤害加成量，最少为![1]，最多为![5]。
6,,歷史紀錄,0,2026/4/30,,1,extra,caption,此技能必定不暴擊,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7,風暴氣流,預設,單手劍,,,-,text,text,向目標發射一道!B[刃風]，!B[刃風]將在造成傷害後消失，並隨即於目標位置產生!B[風刃氣旋]。,,400,12,瞬發,可以放入連擊,稍慢,,"Shoots a Blade Wind at the target. The Blade Wind disappears after dealing damage, and creates a Tempest at the target's position.",,向目标发射一道!B[刃风]，!B[刃风]将在造成伤害后消失，并随即于目标位置产生!B[风刃气旋]。
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,,,,
,,,,,,,,proration,magic,,,,,,,,,,
,,,,,,1,damage,name,刃風,,,,,,,,Blade Wind,,刃风
,,,,,,,,constant,0,,,,,,,,,,
,,,,,,,,multiplier,150+10*SLv,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,radius,Math.floor(SLv/3)+3,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,~66,,,,,,,,,,
,,,,,,2,damage,name,風刃氣旋,,,,,,,,Tempest,,风刃气旋
,,,,,,,,constant,80,,,,,,,,,,
,,,,,,,,multiplier,50+5*SLv+$BDEX*0.2,,,,,,,,,,
,,,,,,,,is_place,1,,,,,,,,,,
,,,,,,,,type,AOE,,,,,,,,,,
,,,,,,,,title,each,,,,,,,,,,
,,,,,,,,judgment,separate,,,,,,,,,,
,,,,,,,,radius,Math.floor(SLv/3)+3,,,,,,,,,,
,,,,,,,,frequency,2+Math.floor((SLv-1)/2),,,,,,,,,,
,,,,,,,,cycle,0.5,,,,,,,,,,
,,,,,,,,duration,3,,,,,,,,,,
,,,,,,,,duration.registlet,RLv/2,,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
,,,,,,-,tips,text,!B[風刃氣旋]的中心位置為!B[刃風]擊中目標時的位置。,,,,,,,,The center of the Tempest is the place where Blade Wind hits the target.,,!B[风刃气旋]的中心位置为!B[刃风]击中目标时的位置。
7,,非預設,雙手劍,,,1,,multiplier,250+10*SLv+$BSTR*0.2,,,,,,,,,,
,,,,,,2,,multiplier,50+5*SLv,,,,,,,,,,
7,,非預設,雙劍,,,,,,,,,,,,,,,,
7,,歷史紀錄,0,2020/07/16,,1,,range_damage,0,,,,,,,,,,
,,,,,,2,,multiplier,75+5*SLv,,,,,,,,,,
7,,歷史紀錄,1,2020/07/16,,1,,multiplier,275+10*SLv,,,,,,,,,,
,,,,,,,,range_damage,0,,,,,,,,,,
7,,歷史紀錄,2,2020/07/16,,1,,range_damage,0,,,,,,,,,,
,,,,,,2,,multiplier,75+5*SLv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,破壞之刃,預設/and,單手劍,盾牌,,-,proration,damage,physical,,300,7,瞬發,可以放入連擊,稍快,,,,
,,,,,,1,damage,constant,SLv*30,,,,,,,,,,
,,,,,,,,multiplier,"SLv*75+stack*20+$BDEX*(0.5+0.5*Math.min(1,stack))",,,,,,,,,,
,,,,,,,,frequency,3,,,,,,,,,,
,,,,,,,,range_damage,1,,,,,,,,,,
,,,,,,,,action_frame,92~52,,,,,,,,,,
,,,,,,-,extra,caption,此技能#[必定暴擊]。,,,,,,,,absolute crit,,此技能#[必定暴击]。
,,,,,,-,text,text,若沒有處於!B[劍芒]狀態，將獲得!B[劍芒]狀態。,,,,,,,,"If the player isn't under Sword Tip state, then gains buff: Sword Tip.",,若没有处于!B[剑芒]状态，将获得!B[剑芒]状态。
,,,,,,4,effect,weapon_atk,SLv+$shield_refining,%,,,,,,,,,
,,,,,,,,duration,10,,,,,,,,,,
,,,,,,,,name,劍芒,,,,,,,,Sword Tip,,剑芒
,,,,,,,,condition,尚未持有此效果時,,,,,,,,When not having Sword Tip,,尚未持有此效果时
,,,,,,-,extra,caption,再獲得振奮效果。,,,,,,,,Gains buff: Encourage.,,再获得振奋效果。
,,,,,,,,condition,獲得狀態時,,,,,,,,While gaining buff,,获得状态时
,,,,,,,,branch,振奮,,,,,,,,Encourage,,振奋
,,,,,,3,heal,type,hp,,,,,,,,,,
,,,,,,,,constant,1000,,,,,,,,,,
,,,,,,,,extra_text,"角色基礎VIT, 盾牌def",,,,,,,,"Base VIT, Shield DEF",,"角色基础VIT, 盾牌def"
,,,,,,,,extra_value,2,,,,,,,,,,
,,,,,,,,name,振奮,,,,,,,,Encourage,,振奋
,,,,,,-,text,text,僅限主手單手劍且非雙劍，此技能倍率將受!S[靈氣之刃]技能等級加成（被動效果）。,,,,,,,,,,
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,-,stack,name,靈氣之刃技能等級,,,,,,,,,,
,,,,,,,,id,1,,,,,,,,,,
,,,,,,,,min,0,,,,,,,,,,
,,,,,,,,max,10,,,,,,,,,,
,,,,,,,,value,getSkillLevel('0-0-17'),,,,,,,,,,
8,,非預設,單手劍,,,4,effect,weapon_atk,SLv,%,,,,,,,,,
,,,,,,3,heal,extra_text,角色基礎VIT,,,,,,,,Base VIT,,角色基础VIT
,,,,,,,,extra_value,2,,,,,,,,,,
8,,非預設,雙手劍,,,1,,multiplier,SLv*75+$BSTR*1,,,,,,,,,,
,,,,,,3,heal,extra_text,,,,,,,,,,,
,,,,,,,,extra_value,,,,,,,,,,,
,,,,,,4,effect,weapon_atk,SLv,%,,,,,,,,,
8,,非預設,雙劍,,,1,,multiplier,SLv*75,,,,,,,,,,
,,,,,,3,heal,extra_text,角色基礎VIT,,,,,,,,Base VIT,,角色基础VIT
,,,,,,,,extra_value,2,,,,,,,,,,
,,,,,,4,effect,weapon_atk,SLv,%,,,,,,,,,
8,,歷史紀錄,0,2020/07/16,,1,,multiplier,SLv*75,,,,,,,,,,
,,,,,,3,,extra_text,角色基礎VIT,,,,,,,,Base VIT,,角色基础VIT
,,,,,,,,extra_value,2,,,,,,,,,,
,,,,,,4,,weapon_atk,SLv,%,,,,,,,,,
8,,歷史紀錄,1,2020/07/16,,1,,multiplier,SLv*75,,,,,,,,,,
8,,歷史紀錄,0,2024/04/18,,1,,multiplier,SLv*75+$BDEX*0.5,,,,,,,,,,
8,,歷史紀錄,1,2024/04/18,,1,,multiplier,SLv*75+$BDEX*0.5,,,,,,,,,,
9,劍術要領,預設,單手劍,,,-,passive,atk,Math.floor((SLv-3)/5)+2,%,,,被動,,,,,,
,,,,,,,,weapon_atk,3*SLv,%,,,,,,,,,
9,,非預設,雙劍,,,,,,,,,,,,,,,,
9,,非預設,雙手劍,,,,,,,,,,,,,,,,
10,劍速提升,預設,單手劍,,,-,passive,aspd,10*SLv,,,,被動,,,,,,
,,,,,,,,aspd,SLv,%,,,,,,,,,
10,,非預設,雙劍,,,,,,,,,,,,,,,,
10,,非預設,雙手劍,,,,,,,,,,,,,,,,
11,大師級劍術,預設,單手劍,,,-,passive,total_damage_A.displayTitle,劍術技能中的攻擊技能，總傷害,,,,被動,,,,Increase damage for all attack skills in Blade Skills,,剑术技能中的攻击技能，总伤害
,,,,,,,,total_damage_A,2*SLv,,,,,,,,All Blade Skills,,
,,,,,,,,total_damage_A.conditionValue,$skill.id.startsWith('0-0-') && $skill.id != '0-0-3' && $skill.id != '0-0-21',,,,,,,,,,
,,,,,,-,list,text,對!S[爆氣斬]與!S[風暴烈焰]無效。,,,,,,,,,,
11,,非預設,雙劍,,,,,,,,,,,,,,,,
11,,非預設,雙手劍,,,,,,,,,,,,,,,,
12,戰吼,預設,單手劍,,,1,effect,type,party,,300,,瞬發,可以放入連擊,快,,,,
,,,,,,,,atk,SLv,%,,,,,,,,,
,,,,,,,,duration,65+SLv,,,,,,,,,,
,,,,,,,,name,戰吼,,,,,,,,,,战吼
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,extra,caption,消除所有友方的#[畏懼]狀態。,,,,,,,,Remove teammate's ailment: #[Fear] .,,消除所有友方的#[畏惧]状态。
,,,,,,,,condition,施放成功後,,,,,,,,after casting,,施放成功后
,,,,,,-,list,text,學習騎士精神中的騎士勇姿後，戰吼狀態追加一定機率抵抗#[畏懼]的效果，最大機率100%。,,,,,,,,"If Knight's Stance is learned, War Cry have a maximum chance of 100% to give resistance to ailment #[Fear]",,学习骑士精神中的骑士勇姿后，战吼状态追加一定机率抵抗#[畏惧]的效果，最大机率100%。
,,,,,,,,skill,騎士勇姿,,,,,,,,Knight's Stance,,骑士勇姿
,,,,,,-,list,text,不同玩家施放戰吼，狀態覆蓋的原則是：技能等級高者優先於技能等級低者；若技能等級相同，則持續時間較長者優先。,,,,,,,,"The overriding rule of War Cry within teammates: The higher skill lv one overrides the lower skill lv; if the skill lv is same, then longer sustaining time overrides shorter sustaining time.",,不同玩家施放战吼，状态覆盖的原则是：技能等级高者优先于技能等级低者；若技能等级相同，则持续时间较长者优先。
,,,,,,,,mark,戰吼,,,,,,,,War Cry,,战吼
12,,非預設,雙劍,,,,,,,,,,,,,,,,
12,,非預設,雙手劍,,,1,,atk,5+SLv,%,,,,,,,,,
,,,,,,,,duration,15+SLv,,,,,,,,,,
12,,非預設,,,,1,,duration,15+SLv,,,,,,,,,,
13,狂戰士之怒,預設,單手劍,,,-,text,text,使自身狂暴化，並且一般攻擊獲得強化。,,500 ,,瞬發,可以放入連擊,快,,"Gains buff: Berserking, and enhance the normal attacks.",,使自身狂暴化，并且一般攻击获得强化。
,,,,,,,,branch,狂暴化,,,,,,,,Berserking,,狂暴化
,,,,,,,,is_mark,1,,,,,,,,,,
,,,,,,1,effect,name,狂暴化,,,,,,,,Berserking,,狂暴化
,,,,,,,,aspd,SLv*100,,,,,,,,,,
,,,,,,,,aspd,SLv*10,%,,,,,,,,,
,,,,,,,,critical_rate,SLv*2.5,,,,,,,,,,
,,,,,,,,stability_main,-50+SLv*2.5,,,,,,,,,,
,,,,,,,,def,-50+SLv/2,%,,,,,,,,,
,,,,,,,,mdef,-50+SLv/2,%,,,,,,,,,
,,,,,,,,duration,30,,,,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,,,,
,,,,,,-,extra,caption,狀態期間獲得斬擊強化。,,,,,,,,Gains buff: Normal Attack Boost under the state.,,状态期间获得斩击强化。
,,,,,,,,branch,斬擊強化,,,,,,,,Normal Attack Boost,,斩击强化
,,,,,,2,extra,caption,使爆氣斬的狀態不會因為受到異常狀態而解除。,,,,,,,,Rampage State wouldn't be removed while getting inflicted by ailments.,,使爆气斩的状态不会因为受到异常状态而解除。
,,,,,,,,skill,爆氣斬,,,,,,,,Rampage State,,爆气斩
,,,,,,-,effect,normal_attack_multiplier,10*SLv,,,,,,,,,,
,,,,,,,,condition,狀態期間,,,,,,,,During buff,,状态期间
,,,,,,,,name,斬擊強化,,,,,,,,Normal Attack Boost,,斩击强化
