名稱,外框,文字,名稱（英文）,文字,名稱(日文),文字,名稱（簡體中文）,文字
,caption,此名詞意指((!多段式傷害))技能計算傷害時，((!變量值))與((!命中狀況))在何時判定。((!共用判定))者，其判定僅進行一次（判定時機可能在((!發動時))、((!詠唱完畢))時或在((!第一擊))命中時完成），並將結果複製到後續每一段傷害上；((!分開判定))者，每次傷害皆單獨判定。,,,,,,此名词意指((!多段式伤害))技能计算伤害时，((!变量值))与((!命中状况))在何时判定。 ((!共用判定))者，其判定仅进行一次（判定时机可能在((!发动时))、((!咏唱完毕))时或在((!第一击))命中时完成），并将结果复制到后续每一段伤害上；((!分开判定))者，每次伤害皆单独判定。
,list,此處所說的判定，包含：命中、暴擊、閃躲/阻擋判定、與傷害公式中的((!穩定率值))取值。不包含((!造成慣性))與((!慣性值))的判定、((!限傷))判定。,,,,,,此处所说的判定，包含：命中、暴击、闪躲/阻挡判定、与伤害公式中的((!稳定率值))取值。不包含((!造成惯性))与((!惯性值))的判定、((!限伤))判定。
,,在魔法書中，若一個技能被分成多個子傷害部分，默認在各個子傷害間為((!分開判定))。,,,,,,在魔法书中，若一个技能被分成多个子伤害部分，默认在各个子伤害间为((!分开判定))。
與目標距離,category,遊戲系統說明  重要,,,,,与目标距离,游戏系统说明  重要
,caption,遊戲內判定與目標距離時，為與怪物的「體型邊界」（碰撞箱）的距離，故體型不同的目標實際距離與目視距離會有所不同。,,,,,,游戏内判定与目标距离时，为与怪物的「体型边界」（碰撞箱）的距离，故体型不同的目标实际距离与目视距离会有所不同。
,list,遊戲中顯示在怪物腳下的距離，為((!無條件進位制))，即剛好處於2m時顯示為2，2.1~3.0m皆顯示為3m。,,,,,,游戏中显示在怪物脚下的距离，为((!无条件进位制))，即刚好处于2m时显示为2，2.1~3.0m皆显示为3m。
,,距離小於等於7m時屬於近距離攻擊，距離大於7m時（遊戲顯示8m）為遠距離攻擊。,,,,,,距离小于等于7m时属于近距离攻击，距离大于7m时（游戏显示8m）为远距离攻击。
,,但為方便玩家判斷，在本站技能查詢中與距離有關的數值，仍然是按照遊戲畫面顯示之數字。例如遠程狙擊仍描述為8m以上，而非實際的7m。,,,,,,但为方便玩家判断，在本站技能查询中与距离有关的数值，仍然是按照游戏画面显示之数字。例如远程狙击仍描述为8m以上，而非实际的7m。
元素屬性判定,category,遊戲系統說明  重要,,,,,元素属性判定,游戏系统说明  重要
,caption,普通攻擊與技能皆可能帶有((!元素屬性))，若傷害的元素屬性剋制目標屬性，則對屬性傷害((!+25%))；元素屬性即使被剋制也不會導致傷害下降。,,,,,,普通攻击与技能皆可能带有((!元素属性))，若伤害的元素属性克制目标属性，则对属性伤害((!+25%))；元素属性即使被克制也不会导致伤害下降。
,list,在魔法書中，沒有標示((!元素屬性))的技能，表示它們是((!跟隨角色武器屬性))（不跟隨的技能，例如((!法術/終結))，會特別標註是((!無屬性))）。,,,,,,
,,在魔法書中，若技能傷害中標示了屬性，表示該傷害的((!元素屬性))固定，不受武器屬性影響。（除非有#[雙重屬性]的效果）。,,,,,,在魔法书中，若技能伤害中标示了属性，表示该伤害的((!元素属性))固定，不受武器属性影响。 （除非有#[双重属性]的效果）。
,,對於((!普通攻擊))與跟隨角色武器屬性的攻擊技能，((!元素屬性))即為((!主手武器))的屬性。,,,,,,对于((!普通攻击))与跟随角色武器属性的攻击技能，((!元素属性))即为((!主手武器))的属性。
,,罕見的，#[施放武器]為((!副手武器))的技能，則使用((!副手武器))的元素屬性。,,,,,,罕见的，#[施放武器]为((!副手武器))的技能，则使用((!副手武器))的元素属性。
,,對於副手為箭矢的((!弓、弩))，屬性將優先跟隨((!箭矢屬性))，除非箭矢為無屬性時，才會跟隨主手武器屬性。（學習((!元素所及))技能後，變成#[雙重屬性]判定）,,,,,,对于副手为箭矢的((!弓、弩))，属性将优先跟随((!箭矢属性))，除非箭矢为无属性时，才会跟随主手武器属性。 （学习((!元素所及))技能后，变成#[双重属性]判定）
,,當主手武器為((!法杖))或((!魔導具))時，須注意#[法術額外屬性傷害][法術額外屬性傷害/剋屬傷害]的計算，詳情請看對應名詞說明。,,,,,,当主手武器为((!法杖))或((!魔导具))时，须注意#[法术额外属性伤害][法术额外属性伤害/克属伤害]的计算，详情请看对应名词说明。
,,屬性剋制關係為：水剋火、火剋地、地剋風、風剋水、光剋暗、暗剋光、無屬性無法剋制。,,,,,,属性克制关系为：水克火、火克地、地克风、风克水、光克暗、暗克光、无属性无法克制。
,,裝備能力的「對X屬性傷害%」與剋制時提供的((!+25%))傷害為疊加，但「對X屬性傷害%」只要目標屬性正確即可生效，無須元素屬性剋制。,,,,,,装备能力的「对X属性伤害%」与克制时提供的((!+25%))伤害为叠加，但「对X属性伤害%」只要目标属性正确即可生效，无须元素属性克制。
命中等級判定,category,遊戲系統說明  重要,,,,,,游戏系统说明  重要
,caption,此條目說明遊戲判定每次攻擊的命中等級的方式，所謂命中等級，包含MISS(未命中)、#[Graze](擦傷)、HIT(非暴擊命中)、Critical(暴擊命中)。,,,,,,此条目说明游戏判定每次攻击的命中等级的方式，所谓命中等级，包含MISS(未命中)、#[Graze](擦伤)、HIT(非暴击命中)、Critical(暴击命中)。
,list,此條目資料來自Phantom Libs團隊，尤其感謝Xenesis的貢獻。,,,,,,此条目资料来自Phantom Libs团队，尤其感谢Xenesis的贡献。
,,0. 技能若有((!必定命中))屬性，直接獲得HIT判定，並進入第6步(不受#[閃光]影響)。<br>((!傷害類型))若為((!魔法))，則永遠為HIT，僅須執行暴擊判定。,,,,,,0. 技能若有((!必定命中))属性，直接获得HIT判定，并进入第6步(不受#[闪光]影响)。 <br>((!伤害类型))若为((!魔法))，则永远为HIT，仅须执行暴击判定。
,,1. 計算命中率=(([玩家HIT(命中)-怪物迴避]÷3+技能實際消耗MP÷10)) %，此項上限100%、下限0%。,,,,,,1. 计算命中率=(([玩家HIT(命中)-怪物回避]÷3+技能实际消耗MP÷10)) %，此项上限100%、下限0%。
,,2. 如果玩家有((!盲目))狀態，則((!計算命中率))*0.8(在7m內攻擊時)或*0.6(在7m外攻擊時)。,,,,,,2. 如果玩家有((!盲目))状态，则((!计算命中率))*0.8(在7m内攻击时)或*0.6(在7m外攻击时)。
,,3. 目標有#[閃光]狀態時，若((!計算命中率))<「武器的#[保底命中]×2」，則以後者作為最終的((!計算命中率))。,,,,,,3. 目标有#[闪光]状态时，若((!计算命中率))<「武器的#[保底命中]×2」，则以后者作为最终的((!计算命中率))。
,,4. 取0~100的隨機數，若小於((!計算命中率))，則此階段取MISS，否則為HIT。,,,,,,4. 取0~100的随机数，若小于((!计算命中率))，则此阶段取MISS，否则为HIT。
,,5. 玩家若有#[閃光]狀態，執行以下判定：<br>若上一步取HIT，則HIT變更為白Graze、繼續步驟6。<br>若上一步取MISS，則無Critical判定，以MISS判定跳到步驟7。,,,,,,5. 玩家若有#[闪光]状态，执行以下判定：<br>若上一步取HIT，则HIT变更为白Graze、继续步骤6。 <br>若上一步取MISS，则无Critical判定，以MISS判定跳到步骤7。
,,6. ((!判定暴擊))、暴擊判定成功時進行以下步驟；未暴擊時跳過此步：<br>目前為HIT判定，則變為Critical。<br>目前為MISS或白Graze判定，則變為黃Graze。,,,,,,6. ((!判定暴击))、暴击判定成功时进行以下步骤；未暴击时跳过此步：<br>目前为HIT判定，则变为Critical。 <br>目前为MISS或白Graze判定，则变为黄Graze。
,,7. 角色若有((!絕對命中))屬性(包括連擊效果#[心眼]提供)，並通過機率檢定，進行以下步驟，否則跳過此步：<br>若目前為Graze判定，則白Graze變為HIT、黃Graze變為Critical。<br>若目前為MISS判定，則變為HIT。,,,,,,7. 角色若有((!绝对命中))属性(包括连击效果#[心眼]提供)，并通过机率检定，进行以下步骤，否则跳过此步：<br>若目前为Graze判定，则白Graze变为HIT、黄Graze变为Critical。 <br>若目前为MISS判定，则变为HIT。
,,8. 本次攻擊若帶有連擊效果#[心眼]，進行以下步驟，否則跳過此步：<br>若處於#[閃光]狀態，跳過此步。<br>若目前為MISS判定，則變為白Graze。,,,,,,8. 本次攻击若带有连击效果#[心眼]，进行以下步骤，否则跳过此步：<br>若处于#[闪光]状态，跳过此步。 <br>若目前为MISS判定，则变为白Graze。
,,9. 若到此為止仍然為MISS判定，則檢查第4步之隨機數是否小於武器#[保底命中]，若是，改判定為白Graze。,,,,,,9. 若到此为止仍然为MISS判定，则检查第4步之随机数是否小于武器#[保底命中]，若是，改判定为白Graze。
,,MISS即未命中，不造成傷害與多數技能的附帶效果；#[Graze]效果參考相關條目，白字與黃字只差在是否享受暴擊傷害。,,,,,,MISS即未命中，不造成伤害与多数技能的附带效果；#[Graze]效果参考相关条目，白字与黄字只差在是否享受暴击伤害。
傷害慣性/造成慣性,category,名詞說明  重要,,,,,伤害惯性/造成惯性,名词说明  重要
,caption,((!傷害慣性))指計算傷害時，所採納的慣性類型；((!造成慣性))為傷害結束後對目標造成的慣性類型，兩者不一定為相同。,,,,,,((!伤害惯性))指计算伤害时，所采纳的惯性类型；((!造成惯性))为伤害结束后对目标造成的惯性类型，两者不一定为相同。
,list,除非有特別說明，否則單次技能只會對同一目標造成((!最多一次))慣性，無論傷害段數的多寡。,,,,,,除非有特别说明，否则单次技能只会对同一目标造成((!最多一次))惯性，无论伤害段数的多寡。
,,在魔法書中，傷害所附帶的慣性皆寫在該傷害的上方。,,,,,,在魔法书中，伤害所附带的惯性皆写在该伤害的上方。
,,對於((!多段式技能))，每一段傷害的((!傷害慣性))的值通常與第一擊命中時的慣性值相同。,,,,,,
,,對於((!多段式技能))，若第二段以後的傷害未說明((!造成慣性))類型，表示與((!第一段))相同；若有說明且與((!第一段))的慣性類型有異，表示將視怪物被哪一個傷害最先攻擊到，只有最先攻擊到的那次傷害會造成慣性。,,,,,,对于((!多段式技能))，若第二段以后的伤害未说明((!造成惯性))类型，表示与((!第一段))相同；若有说明且与((!第一段))的惯性类型有异，表示将视怪物被哪一个伤害最先攻击到，只有最先攻击到的那次伤害会造成惯性。
控制類異常,category,名詞說明,,,コントロール状態異常,用語説明,控制类异常,名词说明
,caption,可中斷行動，一段時間無法操作的異常狀態的總稱。包含#膽怯 、#翻覆 、#昏厥 、#逼退 。,,,,動作が中断し、一定時間操作できない異常状態の総称。含む#ひるむ 、#転倒 、#気絶 、#逼退 。,,可中断行动，一段时间无法操作的异常状态的总称。包含#胆怯 、#翻覆 、#昏厥 、#逼退 。
膽怯,category,控制型異常狀態,Flinch,,怯み,コントロール状態異常,胆怯,控制型异常状态
,caption,短時間內將無法行動，並可產生部位破壞（1秒）。抗性時間較短。,,,,一瞬の間行動不可にする，出現している部位破壊(1秒)。,,短时间内将无法行动，并可产生部位破坏（1秒）。抗性时间较短。
,list,詠唱((!魔法技能))時受到未帶有異常狀態之攻擊，有一定機率產生((!詠唱膽怯))，異常抗性對此類膽怯之防護效果下降。,,,,,,咏唱((!魔法技能))时受到未带有异常状态之攻击，有一定机率产生((!咏唱胆怯))，异常抗性对此类胆怯之防护效果下降。
,,((!抗性時間))依據BOSS難度而變，通常為：野怪與Normal以下1秒；Hard 3秒；Nightmare 6秒；Ultimate 9秒。,,,,,,
翻覆,category,控制型異常狀態,Tumble,,転倒,コントロール状態異常,翻覆,控制型异常状态
,caption,中時間內將無法行動，並可產生部位破壞（3秒）。抗性時間較長。,,,,,,中时间内将无法行动，并可产生部位破坏（3秒）。抗性时间较长。
昏厥,category,控制型異常狀態,Stun,,気絶,コントロール状態異常,昏厥,控制型异常状态
,caption,較長時間內將無法行動，並可產生部位破壞（5秒）。抗性時間很長。,,,,,,较长时间内将无法行动，并可产生部位破坏（5秒）。抗性时间很长。
逼退,category,控制型異常狀態,Knock Back,,,,逼退,控制型异常状态
,caption,會中斷動作及部分技能。期間無法作任何行動，並後退一段距離。,,,,,,会中断动作及部分技能。期间无法作任何行动，并后退一段距离。
,list,逼退距離的計算是以時間為基準，比如：被逼退1秒，即使受牆阻擋而未移動仍需等待1秒才能脫離逼退。,,,,,,逼退距离的计算是以时间为基准，比如：被逼退1秒，即使受墙阻挡而未移动仍需等待1秒才能脱离逼退。
睡眠,category,異常狀態,Sleep,,,,睡眠,异常状态
,caption,效果期間內無法進行任何行動。,,,,,,效果期间内无法进行任何行动。
,list,（額外效果）玩家角色：每3秒回復少量MP。,,,,（額外效果）プレイヤー：每3秒少し MP 回復する。,,（额外效果）玩家角色：每3秒回复少量MP。
,,（額外效果）怪物：若為BOSS，每3秒回復((最大生命×3%))的HP。,,,,,,（额外效果）怪物：若为BOSS，每3秒回复((最大生命×3%))的HP。
,,受到任意傷害即結束效果。,,,,,,受到任意伤害即结束效果。
麻痺,category,異常狀態,Paralysis,,麻痺,,麻痹,异常状态
,caption,降低攻擊速度。,,,,,,降低攻击速度。
,,玩家角色：ASPD-50%。,,,,,,
,,怪物，行動後的僵直時間延長1秒。,,,,,,
遲緩,category,異常狀態,Slow,,鈍足,,迟缓,异常状态
,caption,作用期間內移動速度降低50%，對大部分BOSS敵人無效果。,,,,,,作用期间内移动速度降低50%，对大部分BOSS敌人无效果。
,list,（2020/04/16以後）對於玩家，((!遲緩))會使得閃躲無法使用。,,,,,,（2020/04/16以后）对于玩家，((!迟缓))会使得闪躲无法使用。
停止,category,異常狀態,Stop,,,,停止,异常状态
,caption,作用期間內將無法通過方向鍵移動。BOSS單位則僅會降低移動速度。,,,,,,作用期间内将无法通过方向键移动。 BOSS单位则仅会降低移动速度。
,list,（2020/04/16以後）對於玩家，((!停止))會使得閃躲無法使用。,,,,,,（2020/04/16以后）对于玩家，((!停​​止))会使得闪躲无法使用。
乏力,category,異常狀態,Lethargy,,脱力,,乏力,异常状态
,caption,降低攻擊造成的傷害。,,,,,,降低攻击造成的伤害。
,list,怪物：對玩家造成的物理傷害-30%，不確定魔法傷害是否有效。,,,,,,怪物：对玩家造成的物理伤害-30%，不确定魔法伤害是否有效。
,,玩家角色：最終傷害-30%。,,,,,,玩家角色：最终伤害-30%。
盲目,category,異常狀態,Blind,,暗闇,,盲目,异常状态
,caption,(玩家陷入)面板HIT(命中)-50%、且計算命中率-20%(在7m內攻擊時)或-40%(在7m外攻擊時)。,,,,,,(玩家陷入)面板HIT(命中)-50%、且计算命中率-20%(在7m内攻击时)或-40%(在7m外攻击时)。
,list,(怪物陷入)怪物的面板HIT-60%。,,,,,,(怪物陷入)怪物的面板HIT-60%。
疾病,category,異常狀態,,,,,疾病,异常状态
,caption,作用期間內#異常抗性 減半(÷2)。,,,,,,作用期间内#异常抗性 减半(÷2)。
,list,異常抗性無法阻止此異常狀態的附加。,,,,,,异常抗性无法阻止此异常状态的附加。
眩暈,category,異常狀態,Dizzy,,眩暈,状態異常,眩晕,异常状态
,caption,對於BOSS敵人，期間內總閃躲率及總阻擋率減半；一般敵人則歸零。,,,,Avoid、Guardを0％にする；対象がボスの場合，効果は半減する。,,对于BOSS敌人，期间内总闪躲率及总阻挡率减半；一般敌人则归零。
,list,（2020/04/16以後）對於玩家，期間內阻擋與閃躲回復歸0。,,,,,,（2020/04/16以后）对于玩家，期间内阻挡与闪躲回复归0。
著火,category,異常狀態,Ignite,,発火,,着火,异常状态
,caption,作用期間內每3秒受到一定傷害。,,,,,,作用期间内每3秒受到一定伤害。
,list,玩家角色：每次受到((當前生命×15%))的傷害。,,,,,,玩家角色：每次受到((当前生命×15%))的伤害。
,,"怪物：每次受到(([總INT+總DEX+MATK×MIN(1,目標DEF÷(目標LV*3))]×(100-目標魔法抗性%)÷100))。",,,,,,"怪物：每次受到(([总INT+总DEX+MATK×MIN(1,目标DEF÷(目标LV*3))]×(100-目标魔法抗性%)÷100))。"
猛毒,category,異常狀態,Venom,,,,猛毒,异常状态
,caption,作用期間內每次((!行動))都會受到一定傷害。,,,,,,作用期间内每次((!行动))都会受到一定伤害。
,list,玩家角色：每次受到((當前HP×5%))的傷害。,,,,,,玩家角色：每次受到((当前HP×5%))的伤害。
,,怪物：傷害公式參見((!毒飛刀))技能頁面。,,,,,,怪物：伤害公式参见((!毒飞刀))技能页面。
,,((!行動))包含進行一般攻擊或施放任意技能。,,,,,,((!行动))包含进行一般攻击或施放任意技能。
,,技能((!分身射手))與((!修羅氣場))的白金毆打，每次攻擊皆會觸發一次((!猛毒))的傷害。,,,,,,技能((!分身射手))与((!修罗气场))的白金殴打，每次攻击皆会触发一次((!猛毒))的伤害。
,,(2024/03/14後)習得相關技能後，玩家賦予的猛毒將可疊層，最多3層，每多一層則傷害公式中((ATK+MATK))的部分會多一倍。,,,,,,
,,,,,,,,
閃光,category,異常狀態,Dazzled,,,,闪光,异常状态
,caption,（玩家賦予）對該目標造成的攻擊，將在原始命中率與2倍的((!武器保底命中))間，取較高者作為計算命中率。,,,,,,（玩家赋予）对该目标造成的攻击，将在原始命中率与2倍的((!武器保底命中))间，取较高者作为计算命中率。
,list,此處所指的((!計算命中率))，為命中等級判定的其中一個數值，影響傷害是HIT/Critical或擦傷/MISS。,,,,,,此处所指的((!计算命中率))，为命中等级判定的其中一个数值，影响伤害是HIT/Critical或擦伤/MISS。
,,#[保底命中]率的值，參閱相關條目。,,,,,,#[保底命中]率的值，参阅相关条目。
,,（玩家自身）陷入此狀態時，玩家的命中判定向下降低一階(但對#[必定命中]的技能無效)，判定方式見#[命中等級判定]。,,,,,,（玩家自身）陷入此状态时，玩家的命中判定向下降低一阶(但对#[必定命中]的技能无效)，判定方式见#[命中等级判定]。
,,,,,,,,
冰凍,category,異常狀態,Freeze,,凍結,,冰冻,异常状态
,caption,期間內總行動時間變為兩倍。,,,,,,期间内总行动时间变为两倍。
,list,計算((!行動時間))時，先應用((!行動速度))的減免後，再計算冰凍效果。,,,,,,计算((!行动时间))时，先应用((!行动速度))的减免后，再计算冰冻效果。
,,增加的是((!行動時間))，因此部分不受行動速度影響的技能（如((!潛龍憾地))），仍會被冰凍效果影響。,,,,,,增加的是((!行动时间))，因此部分不受行动速度影响的技能（如((!潜龙憾地))），仍会被冰冻效果影响。
降防,category,異常狀態,Armor Break,,,,降防,异常状态
,caption,增加所受到的傷害。,,,,,,增加所受到的伤害。
,list,怪物：DEF-50%、MDEF-50%。,,,,,,怪物：DEF-50%、MDEF-50%。
,,玩家角色：物理抗性、魔法抗性-50%、無法發動阻擋。,,,,,,玩家角色：物理抗性、魔法抗性-50%、无法发动阻挡。
畏懼,category,異常狀態,Fear,,恐怖,,畏惧,异常状态
,caption,作用期間內，每次行動皆有一定機率被中斷。,,,,,,作用期间内，每次行动皆有一定机率被中断。
,list,((!行動))包含進行一般攻擊或施放任意技能。,,,,,,((!行动))包含进行一般攻击或施放任意技能。
,,因為畏懼效果而中斷的技能，依然會消耗MP。,,,,,,因为畏惧效果而中断的技能，依然会消耗MP。
,,敵人行動被中斷時，會在原地發呆約1~2秒。,,,,,,敌人行动被中断时，会在原地发呆约1~2秒。
出血,category,異常狀態,Bleed,,,,出血,异常状态
,caption,對於玩家：期間內無法使用任何物理傷害技能。,,,,,,对于玩家：期间内无法使用任何物理伤害技能。
,list,對於怪物：暴擊率與暴擊傷害下降。,,,,,,对于怪物：暴击率与暴击伤害下降。
沉默,category,異常狀態,,,,,沉默,异常状态
,caption,對於玩家：期間內無法使用任何魔法傷害技能。,,,,,,对于玩家：期间内无法使用任何魔法伤害技能。
,list,對於怪物：魔法攻擊-30%,,,,,,对于怪物：魔法攻击-30%
衰弱,category,異常狀態,Weaken,,,,衰弱,异常状态
,caption,視受影響目標玩家或怪物，而產生不同的效果。,,,,,,视受影响目标玩家或怪物，而产生不同的效果。
,list,玩家角色：所有技能的消耗MP增加100。,,,,,,玩家角色：所有技能的消耗MP增加100。
,,怪物：以((!屬性有利的魔法技能))攻擊受此狀態影響的目標時，該次攻擊的#法術暴擊轉化率 ((!+50%))、((!法術暴傷轉化率+0%))；怪物不為BOSS時，再降低25% mdef。,,,,,,怪物：以((!属性有利的魔法技能))攻击受此状态影响的目标时，该次攻击的#法术暴击转化率 ((!+50%))、((!法术暴伤转化率+0%))；怪物不为BOSS时，再降低25% mdef。
,,(2025年3月後)主手為杖或魔導具時，衰弱不再需要((!克制屬性))才能觸發效果。,,,,,,(2025年3月后)主手为杖或魔导具时，衰弱不再需要((!克制属性))才能触发效果。
魔力爆發,category,異常狀態,Mana Explosion,,,,魔力爆发,异常状态
,caption,狀態倒數結束時，清空玩家之MP，並依據清空的MP量給予相應傷害。,,,,,,状态倒数结束时，清空玩家之MP，并依据清空的MP量给予相应伤害。
,list,少數怪物的魔力爆發狀態時長為0秒，亦即會立刻造成傷害。,,,,,,少数怪物的魔力爆发状态时长为0秒，亦即会立刻造成伤害。
詛咒,category,異常狀態,,,,,诅咒,异常状态
,caption,視受影響目標玩家或怪物，而產生不同的效果。,,,,,,视受影响目标玩家或怪物，而产生不同的效果。
,list,對於玩家：暴擊所造成的最終傷害((!-50))%,,,,,,对于玩家：暴击所造成的最终伤害((!-50))%
,,對於怪物：降低暴擊抗性10%。,,,,,,对于怪物：降低暴击抗性10%。
疲勞,category,異常狀態,Fatigue,,疲労,,疲劳,异常状态
,caption,期間內最終穩定率除以2。,,,,,,期间内最终稳定率除以2。
暴走,category,異常狀態,,,,,,异常状态
,caption,（僅玩家）期間內技能會強制附加#[執著]的效果。,,,,,,（仅玩家）期间内技能会强制附加#[执着]的效果。
石化,category,異常狀態,Petrified,,,,,异常状态
,caption,被石化後將無法進行任何行動，並丟失所有恨意值，但石化期間免疫所有傷害。,,,,,,被石化后将无法进行任何行动，并丢失所有恨意值，但石化期间免疫所有伤害。
反轉,category,異常狀態,,,,,,
,caption,受到此效果的瞬間，使當前的剩餘HP比例與MP比例對調。,,,,,,
無敵,category,異常狀態,Invincible,,,,无敌,异常状态
,caption,使自身閃避受到的所有傷害（變成miss）。,,,,,,使自身闪避受到的所有伤害（变成miss）。
,list,攻擊附帶的((!異常狀態))也會被無效化。,,,,,,攻击附带的((!异常状态))也会被无效化。
,,無敵屬於((!異常狀態))的一種，故已有無敵效果時，無法再次獲取該效果（持續時間不會累加或刷新）。,,,,,,无敌属于((!异常状态))的一种，故已有无敌效果时，无法再次获取该效果（持续时间不会累加或刷新）。
,,((!連擊))效果的「無敵」與((!無敵急救))的「無敵」，與技能提供的無敵為不同狀態，可以並存。,,,,,,((!连击))效果的「无敌」与((!无敌急救))的「无敌」，与技能提供的无敌为不同状态，可以并存。
異常抗性,category,角色能力說明,,,,,,角色能力说明
,caption,受到附帶異常狀態的攻擊時，根據異常抗性百分比阻止該狀態的附加。,,,,,,受到附带异常状态的攻击时，根据异常抗性百分比阻止该状态的附加。
,list,怪物附加的異常狀態若為紅色字體，表示其為((!紅字異常))，((!紅字異常))將減免100%異常抗性。,,,,,,怪物附加的异常状态若为红色字体，表示其为((!红字异常))，((!红字异常))将减免100%异常抗性。
,,（2022年10月以後）異常抗性上限值為100%。,,,,,,（2022年10月以后）异常抗性上限值为100%。
,,#[疾病]效果會使異常抗性減半。,,,,,,#[疾病]效果会使异常抗性减半。
,,((!阻擋))時，根據剩餘阻擋力會獲得異常抗性（詳情可參閱((!防衛技能：物理防禦))的頁面），該異常抗性不受疾病狀態影響。,,,,,,((!阻挡))时，根据剩余阻挡力会获得异常抗性（详情可参阅((!防卫技能：物理防御))的页面），该异常抗性不受疾病状态影响。
,,((!阻擋))時的異常抗性，與角色裝備、屬性提供的異常抗性無法疊加，僅會取較高者計算（在#[疾病]狀態計算之後）。,,,,,,((!阻挡))时的异常抗性，与角色装备、属性提供的异常抗性无法叠加，仅会取较高者计算（在#[疾病]状态计算之后）。
,,異常抗性的測試影片：https://youtu.be/OMtybWXP6VA。,,,,,,异常抗性的测试影片：https://youtu.be/OMtybWXP6VA。
連擊,category,連擊效果,Consecutive,,,,,连击效果
,caption,該技能的消耗MP減輕((100×(連擊位置-1) ))，並使該技能威力降低((10×連擊已於該次連擊中的使用次數))%。,,,,,,该技能的消耗MP减轻((100×(连击位置-1) ))，并使该技能威力降低((10×连击已于该次连击中的使用次数))%。
